data_lancamento,nome_artistico,nome_artista,qtd_artistas,qtd_playlists_spotify,qtd_destaques_spotify,qtd_transmissoes,qtd_playlists_apple,qtd_destaques_apple,qtd_playlists_deezer,qtd_destques_deezer,qtd_destaues_shazam,batidas_por_minuto,modo,acustica_%,instrumentalidade_%
2021-11-19,WHAT ELSE CAN I DO?,"STEPHANIE BEATRIZ, DIANE GUERRERO",2,802,0,154797871.0,13,27,8.0,0,0.0,120,MAJOR,26,0
2021-11-17,DANCE CRIP,TRUENO,1,731,0,198883004.0,14,14,24.0,0,4.0,106,MAJOR,11,0
2022-01-07,MISERABLE MAN,DAVID KUSHNER,1,788,0,124407432.0,13,0,32.0,1,0.0,110,MAJOR,93,0
2021-05-21,HAPPIER,OLIVIA RODRIGO,1,3069,4,850608354.0,25,46,105.0,0,45.0,169,MAJOR,81,0
2021-08-29,PRAISE GOD,KANYE WEST,1,4651,0,376333030.0,24,6,105.0,0,0.0,118,MAJOR,1,0
2021-06-25,GET INTO IT (YUH),DOJA CAT,1,4999,0,516784627.0,43,19,73.0,12,0.0,92,MINOR,32,0
2019-11-01,BEFORE YOU GO,LEWIS CAPALDI,1,8327,24,1608045237.0,205,130,625.0,0,25.0,112,MAJOR,63,0
2020-12-25,SKY,PLAYBOI CARTI,1,3297,3,506778838.0,25,3,52.0,0,1.0,140,MAJOR,26,0
2010-11-29,ROLLING IN THE DEEP,ADELE,1,35684,6,1472799873.0,195,125,6.28,2,78.0,105,MAJOR,13,0
2021-07-08,SOBRIO,MALUMA,1,3506,10,513643924.0,103,76,100.0,1,1.0,178,MAJOR,14,0
2021-12-23,PERU,"ED SHEERAN, FIREBOY DML",2,2999,0,261286503.0,60,17,154.0,0,22.0,108,MINOR,57,0
2021-05-21,FAVORITE CRIME,OLIVIA RODRIGO,1,3681,0,783706581.0,20,21,99.0,0,7.0,173,MAJOR,86,0
2021-05-07,THUNDER,"PREZIOSO, GABRY PONTE, LUM!X",3,4846,10,422691058.0,54,16,259.0,0,13.0,101,MAJOR,3,0
2020-01-01,THE BUSINESS,TIÏ¿½Ï¿,1,14311,0,1062345656.0,255,32,582.0,0,14.0,120,MINOR,41,2
2020-10-23,POSITIONS,ARIANA GRANDE,1,8207,0,1252563873.0,175,55,95.0,0,2.0,144,MAJOR,44,0
2021-03-19,I WANNA BE YOUR SLAVE,MÏ¿½Ï¿½NE,1,4873,0,851070493.0,65,88,434.0,3,13.0,133,MAJOR,0,0
2021-10-22,VAI LÏ¿½Ï¿½ EM CASA,"MARÏ¿½Ï¿½LIA MENDONÏ¿½Ï¿½A, GEORGE HENRIQUE &",2,772,0,263894529.0,7,3,89.0,0,0.0,158,MINOR,53,0
2021-10-01,THE FEELS,TWICE,1,1150,0,345903614.0,20,99,44.0,0,2.0,120,MAJOR,9,0
2020-02-21,HEARTBREAK ANNIVERSARY,GIVEON,1,5398,4,951637566.0,111,127,210.0,0,37.0,129,MAJOR,56,0
2016-11-18,NO LIE,"SEAN PAUL, DUA LIPA",2,7370,0,956865266.0,92,127,1.219,0,62.0,102,MAJOR,5,0
